"Subject.ID","Study_ID"
"M18GHC001","S001"
"M18GHC002","S002"
"M18GHC007","S003"
"M18GHC008","S004"
"M18GHC009","S005"
"M18GHC012","S006"
"M18GHC015","S007"
"M18GHC019","S008"
"M18GHC026","S009"
"M18GHC047","S010"
"M18GHC065","S011"
"M18GHC066","S012"
"M18GHC068","S013"
"M18GHC069","S014"
"M18GHC073","S015"
